tweet,id,name,location,topic,created_at,processed_on
"✅ 2nd dose #PfizerVaccine done!

✅ Sleep deficit wiped out.

✅ Extra strength Tylenol taken 4 pain + my body's prop… https://t.co/5uerbifJVJ",1392283446756745220,Raj 🦅 #DemCast 🗽 Balasubramanian 🥁,"Chicago, IL, USA",PfizerVaccine ,Wed May 12 01:00:15 +0000 2021,2021-05-11 21:07:54
"✅ 2nd dose #PfizerVaccine done!

✅ Sleep deficit wiped out.

✅ Extra strength Tylenol taken 4 pain + my body's prop… https://t.co/8ocL2dOpcZ",1392283031357075459,Raj 🦅 #DemCast 🗽 Balasubramanian 🥁,"Chicago, IL, USA",PfizerVaccine ,Wed May 12 00:58:36 +0000 2021,2021-05-11 21:07:54
"Wife- Pfizer✅
Toph- Moderna✅

#PfizerVaccine VS #Moderna in this house hold 🤣🤣🤣",1392281999449026560,x - Topher Blay ®️,,PfizerVaccine ,Wed May 12 00:54:30 +0000 2021,2021-05-11 21:07:54
"We are just obsessive checking our email, waiting for the pediatricians office to email us, letting us know we can… https://t.co/E3oDa6nMrq",1392278989465554944,Christa Norris (She/her) BLM,"Minneapolis, MN",PfizerVaccine ,Wed May 12 00:42:33 +0000 2021,2021-05-11 21:07:54
@scottdellinger 24 hours of feeling like someone took a bat to my upper arm/shoulder. Second dose—nothing #PfizerVaccine,1392278272860295171,Aunty Steve,,PfizerVaccine ,Wed May 12 00:39:42 +0000 2021,2021-05-11 21:07:54
"Who has already vaccinated their kids against Covid? Who is planning to? Real questions. 

#CovidVaccine… https://t.co/pFXSOT2XWu",1392277578329821187,NP Sevs,United States,PfizerVaccine ,Wed May 12 00:36:56 +0000 2021,2021-05-11 21:07:54
"Today’s agenda:
✅ cup of joe ☕️
✅ receive second vaccine doses
✅ casually remind everyone that immigrants made this… https://t.co/VbCETajpST",1392277325669044225,Modern Mouse 🐭,"Alameda, CA",PfizerVaccine ,Wed May 12 00:35:56 +0000 2021,2021-05-11 21:07:54
"Me: Do you want to get the #COVID19 #PfizerVaccine
12y/o son: yes
Me: so you don't want anyone to convince you?! 
1… https://t.co/0UXWftAngL",1392276711891480578,"Mohammad Alyamani, PhD","Cleveland, OH",PfizerVaccine ,Wed May 12 00:33:30 +0000 2021,2021-05-11 21:07:54
Got my second jab of #PfizerVaccine  and it knocked me out with fever and body pain taking nearly the full day to r… https://t.co/uQ1eK3t16v,1392275499599159302,Aniruddha Chatterjee,"New York, USA",PfizerVaccine ,Wed May 12 00:28:40 +0000 2021,2021-05-11 21:07:54
A new twist on an old meme.  #PfizerVaccine #COVID19 https://t.co/OODYx4uAp9,1392273920271728645,James Hood,"Michigan, USA",PfizerVaccine ,Wed May 12 00:22:24 +0000 2021,2021-05-11 21:07:54
Received my first dose of the COVID-19 vaccine and it went well #PfizerVaccine #COVID19Vaccination https://t.co/lxxCHEEKer,1392272976771522564,MKristenphotography,"Long island, NY",PfizerVaccine ,Wed May 12 00:18:39 +0000 2021,2021-05-11 21:07:54
"My self and my parents took both shot #CovidVaccine  
called #PfizerVaccine in Sri Lanka, and we feel no harm and s… https://t.co/sKYXb56dI2",1392272577083543552,yogarajah seran,"Sydney, New South Wales",PfizerVaccine ,Wed May 12 00:17:04 +0000 2021,2021-05-11 21:07:54
Longview ISD will host a COVID-19 vaccine clinic for ages 12 and older from 3-6 p.m. on May 19 at Longview High Sch… https://t.co/f52Ppi5uf4,1392272315417722881,JJ Maldonado,"Tyler, TX",PfizerVaccine ,Wed May 12 00:16:01 +0000 2021,2021-05-11 21:07:54
"Self-schedule your vaccine today at: 

https://t.co/7QJTnsI8en 

#NMtrustedvoices #GetTheFacts #NewMexico #NM #ABQ… https://t.co/3ZdjMeMAOt",1392270317297491972,NM Dept. of Health,"New Mexico, USA",PfizerVaccine ,Wed May 12 00:08:05 +0000 2021,2021-05-11 21:07:54
"1 down, 3 to go! Mama has joined the ranks of the partially #vaccinated Just me and the kiddos to go!

#Finally… https://t.co/DRfU0k4WW3",1392267780733513728,Michelle Spencer 🧡,"Toronto, Ontario",PfizerVaccine ,Tue May 11 23:58:00 +0000 2021,2021-05-11 21:07:54
"Nebraska teenagers eligible for Pfizer vaccine starting this week. #CovidVaccine #Nebraska #PfizerVaccine
https://t.co/LexxUAjhQs",1392266576238452736,KMTV 3 News Now,"Omaha, NE",PfizerVaccine ,Tue May 11 23:53:13 +0000 2021,2021-05-11 21:07:54
