tweet,id,name,location,topic,created_at,processed_on
"#LongCovid #Corona #vaccine #vaccinated 

For the people who have seen their long covid symptoms regress/ dissappea… https://t.co/wbKkEZ46CG",1392285296151117834,Tim,,Vaccinated ,Wed May 12 01:07:36 +0000 2021,2021-05-11 21:09:19
"Both #ontariovaccine and #Alberta
 Have stopped using #AstraZeneca vaccine.  It is the least effective and the high… https://t.co/2BttQIXjd4",1392284888695545860,Wyman Moase,,Vaccinated ,Wed May 12 01:05:59 +0000 2021,2021-05-11 21:09:19
Ok soooo going 👀🍷 Hope you are #vaccinated https://t.co/4olF0CWEXS,1392284616158031878,LadyVeronica♥Charnel- Artist Manager,United States,Vaccinated ,Wed May 12 01:04:54 +0000 2021,2021-05-11 21:09:19
"Well, in true 2020(21) fashion, it took from the first pitch until the start of the 5th inning to get our food (tha… https://t.co/fzbZFjZRD9",1392283437722071045,Christina Minnish,"North Carolina, USA",Vaccinated ,Wed May 12 01:00:13 +0000 2021,2021-05-11 21:09:19
"Well, in true 2020(21) fashion, it took from the first pitch until the start of the 5th inning to get our food (tha… https://t.co/bKogsQCngN",1392283296600629250,Mrs. Minnish,"Holly Springs, NC",Vaccinated ,Wed May 12 00:59:39 +0000 2021,2021-05-11 21:09:19
"https://t.co/w4Tg2NHWfJ
💥💉HE LISTENED TO JOE BIDEN💉💥
#vaccinated #LiberalismIsTheRealPandemic",1392282889618804741,🐕Sillypuppy🐆,Sacramento California,Vaccinated ,Wed May 12 00:58:02 +0000 2021,2021-05-11 21:09:19
"Celebrating being fully #vaccinated 💉 with a #TacoTuesday 🌮  company meeting! 🎉 🏡 

https://t.co/9WJBB6qUsQ… https://t.co/EyUFWkWG5I",1392281889952632835,A. Perry Homes,"1220 Washington Ave, Wilmette",Vaccinated ,Wed May 12 00:54:04 +0000 2021,2021-05-11 21:09:19
"Vaccine appointments now available for everyone 25 and above. Get #vaccinated #Montreal let's open things up!

Foll… https://t.co/brhCqAdGQj",1392281630895710214,Supreet Pal Singh,"Montréal, Québec",Vaccinated ,Wed May 12 00:53:02 +0000 2021,2021-05-11 21:09:19
Question some friends and I have been debating: If a person refuses to be #vaccinated and gets sick and/or dies due… https://t.co/2dWBYPLgYM,1392281419712319489,Cheryl T.,"Western Washington, USA",Vaccinated ,Wed May 12 00:52:12 +0000 2021,2021-05-11 21:09:19
Got my vaccine!!!!💉 #CovidVaccine #vaccinated I’m feeling GREAT!!,1392281252867284995,Merrie,International,Vaccinated ,Wed May 12 00:51:32 +0000 2021,2021-05-11 21:09:19
"Get #vaccinated as soon as possible 

#COVIDEmergency2021 #COVIDSecondWaveInIndia https://t.co/l0zGtmQTsA",1392280300823085060,Apurva Chamaria,"Global, Meet me at an Airport ",Vaccinated ,Wed May 12 00:47:45 +0000 2021,2021-05-11 21:09:19
"My wife, @kimberbarker, got her first #FauchiOuchie today at @Walgreens. Inspired, we thought we'd have a little ph… https://t.co/zq76oSIjFf",1392280295664193536,Shane Barker,Dade City,Vaccinated ,Wed May 12 00:47:44 +0000 2021,2021-05-11 21:09:19
AZ after effects the next day... All good otherwise. #COVID19 #vaccinated https://t.co/sxh0bmlKIb,1392279981548478464,"Cassandra, House of Priam","Sydney, Oz",Vaccinated ,Wed May 12 00:46:29 +0000 2021,2021-05-11 21:09:19
Okay guy I got fully vaccinated to day can’t wait to watch the oval #vaccinated,1392279907007442948,shamon sessions,,Vaccinated ,Wed May 12 00:46:11 +0000 2021,2021-05-11 21:09:19
#vaccinated ready to #game,1392279904121622529,grillpilled snake,digornjos,Vaccinated ,Wed May 12 00:46:11 +0000 2021,2021-05-11 21:09:19
"22hrs left #sinopharm and NO any pain or unwel. Had adequate water after vaccinated. Had My reguler meals.
@ChinaEmbSL #srilanka #vaccinated",1392279355645071368,Vajira Sumedha,Colombo/Sri Lanka,Vaccinated ,Wed May 12 00:44:00 +0000 2021,2021-05-11 21:09:19
GOT MY SECOND DOSE ✅ #NursesWeek2021 #CovidVaccine #vaccinated #fullyvaxxed #nurselife,1392279303312842753,NKSingh,,Vaccinated ,Wed May 12 00:43:47 +0000 2021,2021-05-11 21:09:19
Just got my second dose. Hopefully a rock hard erection too. #PfizerBioNTech #vaccinated,1392279161222299648,Deej,"Lake Stevens, WA",Vaccinated ,Wed May 12 00:43:13 +0000 2021,2021-05-11 21:09:19
"Vaxxed!!! ♥️💉♥️ #COVID19Vaccination #Moderna 
#ThisIsOurShotCA #vaccinated #VaccinesWork",1392278917109538824,Laura Comfort,"Calgary, Alberta",Vaccinated ,Wed May 12 00:42:15 +0000 2021,2021-05-11 21:09:19
Ok... Second shot done! 2-weeks from now I'll be comingaling and not thinking about this crap. F@&amp;k Trump!… https://t.co/sCQPc3YBYi,1392278771760205826,Ken Hunt 🚴,"Washington, USA",Vaccinated ,Wed May 12 00:41:41 +0000 2021,2021-05-11 21:09:19
"I haven’t collected all the ingredients yet to make a complete failure of myself.
 While you’re reaching out to me,… https://t.co/gpTgjjYBAB",1392278742156804096,Eddy Rice,Los Angeles,Vaccinated ,Wed May 12 00:41:34 +0000 2021,2021-05-11 21:09:19
"Go 👏🏻 get 👏🏻 vaccinated! #GetVaccinated #COVID19Vaccination
#vaccinated https://t.co/OTL2x3LIAd",1392278541123862535,Dan Moilanen,"Flint, MI",Vaccinated ,Wed May 12 00:40:46 +0000 2021,2021-05-11 21:09:19
… if #texas has lifted the mask rule… does that mean you don’t have to be #vaccinated  now since no one is wearing… https://t.co/WYRG9Cp2Xx,1392278427793694723,Lady Rah👑,,Vaccinated ,Wed May 12 00:40:19 +0000 2021,2021-05-11 21:09:19
@KurtGregory1 @SandiMarie79 @AikinNorb @SabresFunStats @Jack_WanderS @Buddythereddog @LakeEffectXJ @timdonovan560… https://t.co/eJiNavfkse,1392278213431382019,Heather,"Buffalo, NY",Vaccinated ,Wed May 12 00:39:28 +0000 2021,2021-05-11 21:09:19
"I took the AZ shot, I'd do it again and I'll take whatever I'm given for my second.
AND this whole thing has been a… https://t.co/FRkZuTrrAl",1392278034183491590,Ty Game,"Whitchurch-Stouffville, Ontari",Vaccinated ,Wed May 12 00:38:45 +0000 2021,2021-05-11 21:09:19
#immunocompromised people will still be #highrisk even after fully #vaccinated https://t.co/W5KVVL9rZX,1392277929300742149,#HighRisk #CovidisAirborne #VaxUp #MaskUp,Home,Vaccinated ,Wed May 12 00:38:20 +0000 2021,2021-05-11 21:09:19
"on Wednesdays 7:30pm MST
https://t.co/r9rveIXvM2

“Thou art He, O my God, through Whose names the sick are healed a… https://t.co/3tNvat7fTf",1392277794877448193,Spiritual Conversion Corner,,Vaccinated ,Wed May 12 00:37:48 +0000 2021,2021-05-11 21:09:19
#VaccinesWork  #vaccinated  they do work had my two just manage any pre existing condition with your doctor by test… https://t.co/3AyryATsxu,1392277658973589505,Demetrius Prime,"Citrus Heights, CA",Vaccinated ,Wed May 12 00:37:15 +0000 2021,2021-05-11 21:09:19
"Summer in the city
.
.
.
#boston #summer #livin #letsgo #covidvacccine #getvaccinated #vaccinated #havefun… https://t.co/RtpNuBhOYe",1392277546985689092,Tricia Rizzo,"Boston, MA",Vaccinated ,Wed May 12 00:36:49 +0000 2021,2021-05-11 21:09:19
